mesiac,kategoria,pocet
2023-06,Sirotský,20278
2023-06,Vdovský sólo,26610
2023-06,Vdovecký sólo,5721
2023-06,Spolu,1417582
2023-07,Starobný,1110234
2023-07,Predčasný starobný,13589
2023-07,Invalidný,222320
2023-07,Sirotský,18221
2023-07,Vdovský sólo,26582
2023-07,Vdovecký sólo,5703
2023-07,Spolu,1419005
2023-08,Starobný,1112078
2023-08,Predčasný starobný,12880
2023-08,Invalidný,221815
2023-08,Sirotský,18251
2023-08,Vdovský sólo,26504
2023-08,Vdovecký sólo,5685
2023-08,Spolu,1419600
2023-09,Starobný,1111698
2023-09,Predčasný starobný,14303
2023-09,Invalidný,221606
2023-09,Sirotský,17695
2023-09,Vdovský sólo,26235
2023-09,Vdovecký sólo,5619
2023-09,Spolu,1419722
2023-10,Starobný,1114611
2023-10,Predčasný starobný,15072
2023-10,Invalidný,221430
2023-10,Sirotský,17980
2023-10,Vdovský sólo,26027
2023-10,Vdovecký sólo,5579
2023-10,Spolu,1423372
2023-11,Starobný,1116955
2023-11,Predčasný starobný,14964
2023-11,Invalidný,220880
2023-11,Sirotský,17772
2023-11,Vdovský sólo,25949
2023-11,Vdovecký sólo,5590
2023-11,Spolu,1424843
2023-12,Starobný,1118242
2023-12,Predčasný starobný,15427
2023-12,Invalidný,220349
2023-12,Sirotský,18714
2023-12,Vdovský sólo,25897
2023-12,Vdovecký sólo,5578
2023-12,Spolu,1426994
2024-01,Starobný,1118247
2024-01,Predčasný starobný,16667
2024-01,Invalidný,220538
2024-01,Sirotský,19604
2024-01,Vdovský sólo,25870
2024-01,Vdovecký sólo,5568
2024-01,Spolu,1429342
2024-02,Starobný,1113744
2024-02,Predčasný starobný,23749
2024-02,Invalidný,220373
2024-02,Sirotský,20661
2024-02,Vdovský sólo,25647
2024-02,Vdovecký sólo,5535
2024-02,Spolu,1432721
2024-03,Starobný,1115298
2024-03,Predčasný starobný,29102
2024-03,Invalidný,219272
2024-03,Sirotský,21074
2024-03,Vdovský sólo,25519
2024-03,Vdovecký sólo,5511
2024-03,Spolu,1438876
2024-04,Starobný,1115164
2024-04,Predčasný starobný,35045
2024-04,Invalidný,217837
2024-04,Sirotský,20520
2024-04,Vdovský sólo,25317
2024-04,Vdovecký sólo,5448
2024-04,Spolu,1442517
2024-05,Starobný,1117144
2024-05,Predčasný starobný,40258
2024-05,Invalidný,216287
2024-05,Sirotský,19748
2024-05,Vdovský sólo,25163
2024-05,Vdovecký sólo,5388
2024-05,Spolu,1447263
2024-06,Starobný,1121502
2024-06,Predčasný starobný,40869
2024-06,Invalidný,216931
2024-06,Sirotský,19818
2024-06,Vdovský sólo,24903
2024-06,Vdovecký sólo,5385
2024-06,Spolu,1452924
2024-07,Starobný,1124218
2024-07,Predčasný starobný,42149
2024-07,Invalidný,217321
2024-07,Sirotský,17202
2024-07,Vdovský sólo,24713
2024-07,Vdovecký sólo,5384
2024-07,Spolu,1454661
2024-08,Starobný,1125907
2024-08,Predčasný starobný,42741
2024-08,Invalidný,217388
2024-08,Sirotský,17261
2024-08,Vdovský sólo,24555
2024-08,Vdovecký sólo,5335
2024-08,Spolu,1456997
2024-09,Starobný,1127657
2024-09,Predčasný starobný,41907
2024-09,Invalidný,217721
2024-09,Sirotský,17248
2024-09,Vdovský sólo,24403
2024-09,Vdovecký sólo,5312
2024-09,Spolu,1458194
2024-10,Starobný,1129519
2024-10,Predčasný starobný,40919
2024-10,Invalidný,217751
2024-10,Sirotský,17728
2024-10,Vdovský sólo,24360
2024-10,Vdovecký sólo,5303
2024-10,Spolu,1459633
2024-11,Starobný,1133049
2024-11,Predčasný starobný,39909
2024-11,Invalidný,218037
2024-11,Sirotský,18869
2024-11,Vdovský sólo,24366
2024-11,Vdovecký sólo,5322
2024-11,Spolu,1463712
2024-12,Starobný,1134690
2024-12,Predčasný starobný,39055
2024-12,Invalidný,217975
2024-12,Sirotský,20023
2024-12,Vdovský sólo,24354
2024-12,Vdovecký sólo,5333
2024-12,Spolu,1465702
