mesiac,druh,pocet
2025-01,Vdovecký,476
2025-02,Starobný,2710
2025-02,Predčasný starobný,4973
2025-02,Invalidný,1229
2025-02,Vdovský,1058
2025-02,Vdovecký,339
2025-03,Starobný,3042
2025-03,Predčasný starobný,1034
2025-03,Invalidný,1843
2025-03,Vdovský,1858
2025-03,Vdovecký,668
2025-04,Starobný,3139
2025-04,Predčasný starobný,500
2025-04,Invalidný,1987
2025-04,Vdovský,1596
2025-04,Vdovecký,563
2025-05,Starobný,2675
2025-05,Predčasný starobný,436
2025-05,Invalidný,1942
2025-05,Vdovský,1459
2025-05,Vdovecký,581
2025-06,Starobný,2329
2025-06,Predčasný starobný,422
2025-06,Invalidný,1661
2025-06,Vdovský,1304
2025-06,Vdovecký,501
2025-07,Starobný,2590
2025-07,Predčasný starobný,501
2025-07,Invalidný,1708
2025-07,Vdovský,1220
2025-07,Vdovecký,484
2025-08,Starobný,2027
2025-08,Predčasný starobný,263
2025-08,Invalidný,1113
2025-08,Vdovský,861
2025-08,Vdovecký,329
2025-09,Starobný,3113
2025-09,Predčasný starobný,323
2025-09,Invalidný,1294
2025-09,Vdovský,1080
2025-09,Vdovecký,387
2025-10,Starobný,3296
2025-10,Predčasný starobný,347
2025-10,Invalidný,1479
2025-10,Vdovský,1162
2025-10,Vdovecký,444
2025-11,Starobný,2801
2025-11,Predčasný starobný,280
2025-11,Invalidný,1299
2025-11,Vdovský,945
2025-11,Vdovecký,323
2025-12,Starobný,2354
2025-12,Predčasný starobný,304
2025-12,Invalidný,1301
2025-12,Vdovský,551
2025-12,Vdovecký,195
2026-01,Starobný,3195
2026-01,Predčasný starobný,373
2026-01,Invalidný,1551
2026-01,Vdovský,1149
2026-01,Vdovecký,443
2026-02,Starobný,2822
2026-02,Predčasný starobný,729
2026-02,Invalidný,1205
2026-02,Vdovský,1231
2026-02,Vdovecký,422
2026-03,Starobný,3639
2026-03,Predčasný starobný,572
2026-03,Invalidný,1583
2026-03,Vdovský,1528
2026-03,Vdovecký,574
2026-04,Starobný,3303
2026-04,Predčasný starobný,456
2026-04,Invalidný,1253
2026-04,Vdovský,1206
2026-04,Vdovecký,479
