mesiac,druh,pocet
2012-04,Starobný,2337
2012-04,Predčasný starobný,1317
2012-04,Invalidný,2044
2012-04,Vdovský,1213
2012-04,Vdovecký,417
2012-05,Starobný,2309
2012-05,Predčasný starobný,1363
2012-05,Invalidný,2131
2012-05,Vdovský,1240
2012-05,Vdovecký,345
2012-06,Starobný,2776
2012-06,Predčasný starobný,1525
2012-06,Invalidný,2196
2012-06,Vdovský,1283
2012-06,Vdovecký,446
2012-07,Starobný,2317
2012-07,Predčasný starobný,1018
2012-07,Invalidný,1748
2012-07,Vdovský,1140
2012-07,Vdovecký,392
2012-08,Starobný,2368
2012-08,Predčasný starobný,1522
2012-08,Invalidný,1672
2012-08,Vdovský,1022
2012-08,Vdovecký,364
2012-09,Starobný,2505
2012-09,Predčasný starobný,1063
2012-09,Invalidný,1412
2012-09,Vdovský,1185
2012-09,Vdovecký,397
2012-10,Starobný,2990
2012-10,Predčasný starobný,1290
2012-10,Invalidný,1914
2012-10,Vdovský,1366
2012-10,Vdovecký,435
2012-11,Starobný,2664
2012-11,Predčasný starobný,1554
2012-11,Invalidný,2611
2012-11,Vdovský,1239
2012-11,Vdovecký,428
2012-12,Starobný,1485
2012-12,Predčasný starobný,1135
2012-12,Invalidný,1938
2012-12,Vdovský,900
2012-12,Vdovecký,334
2013-01,Starobný,1231
2013-01,Predčasný starobný,1900
2013-01,Invalidný,1380
2013-01,Vdovský,1025
2013-01,Vdovecký,295
2013-02,Starobný,1670
2013-02,Predčasný starobný,1502
2013-02,Invalidný,1865
2013-02,Vdovský,1397
2013-02,Vdovecký,446
2013-03,Starobný,1598
2013-03,Predčasný starobný,1101
2013-03,Invalidný,2071
2013-03,Vdovský,1187
2013-03,Vdovecký,416
2013-04,Starobný,1832
2013-04,Predčasný starobný,1201
2013-04,Invalidný,2221
2013-04,Vdovský,1393
2013-04,Vdovecký,505
2013-05,Starobný,1609
2013-05,Predčasný starobný,1301
2013-05,Invalidný,1983
2013-05,Vdovský,1445
2013-05,Vdovecký,463
2013-06,Starobný,1548
2013-06,Predčasný starobný,1319
2013-06,Invalidný,1960
2013-06,Vdovský,1154
2013-06,Vdovecký,397
2013-07,Starobný,1723
2013-07,Predčasný starobný,946
2013-07,Invalidný,1786
2013-07,Vdovský,1138
2013-07,Vdovecký,406
2013-08,Starobný,1776
2013-08,Predčasný starobný,1428
2013-08,Invalidný,1176
2013-08,Vdovský,874
2013-08,Vdovecký,291
2013-09,Starobný,3177
2013-09,Predčasný starobný,1524
2013-09,Invalidný,1719
2013-09,Vdovský,1311
2013-09,Vdovecký,477
2013-10,Starobný,3751
2013-10,Predčasný starobný,1295
2013-10,Invalidný,1753
2013-10,Vdovský,1163
2013-10,Vdovecký,388
2013-11,Starobný,3142
2013-11,Predčasný starobný,1163
2013-11,Invalidný,1785
2013-11,Vdovský,1105
2013-11,Vdovecký,341
2013-12,Starobný,2737
2013-12,Predčasný starobný,1132
2013-12,Invalidný,1744
2013-12,Vdovský,799
2013-12,Vdovecký,267
2014-01,Starobný,3320
2014-01,Predčasný starobný,1690
2014-01,Invalidný,1935
2014-01,Vdovský,1140
2014-01,Vdovecký,391
2014-02,Starobný,3839
2014-02,Predčasný starobný,1819
2014-02,Invalidný,1205
2014-02,Vdovský,885
2014-02,Vdovecký,285
2014-03,Starobný,4826
2014-03,Predčasný starobný,1518
2014-03,Invalidný,1670
2014-03,Vdovský,961
2014-03,Vdovecký,317
2014-04,Starobný,4722
2014-04,Predčasný starobný,1118
2014-04,Invalidný,1707
2014-04,Vdovský,1079
2014-04,Vdovecký,367
2014-05,Starobný,4944
2014-05,Predčasný starobný,1176
2014-05,Invalidný,1909
2014-05,Vdovský,1126
2014-05,Vdovecký,395
2014-06,Starobný,5324
2014-06,Predčasný starobný,1261
2014-06,Invalidný,2149
2014-06,Vdovský,1343
2014-06,Vdovecký,461
2014-07,Starobný,5695
2014-07,Predčasný starobný,1525
2014-07,Invalidný,2626
2014-07,Vdovský,1892
2014-07,Vdovecký,640
2014-08,Starobný,3262
2014-08,Predčasný starobný,1193
2014-08,Invalidný,1715
2014-08,Vdovský,1055
2014-08,Vdovecký,326
2014-09,Starobný,3287
2014-09,Predčasný starobný,1504
2014-09,Invalidný,2317
2014-09,Vdovský,1242
2014-09,Vdovecký,417
