mesiac,druh,priemer_eur
2022-09,Invalidný nad 70 %,417.62
2022-10,Starobný,517.96
2022-10,Predčasný starobný,504.83
2022-10,Invalidný,298.58
2022-10,Vdovský,287.99
2022-10,Vdovecký,233.62
2022-10,Sirotský,152.09
2022-10,Invalidný do 70 %,230.98
2022-10,Invalidný nad 70 %,418.12
2022-11,Starobný,518.35
2022-11,Predčasný starobný,508.42
2022-11,Invalidný,298.91
2022-11,Vdovský,287.99
2022-11,Vdovecký,233.67
2022-11,Sirotský,153.5
2022-11,Invalidný do 70 %,231.17
2022-11,Invalidný nad 70 %,418.54
2022-12,Starobný,518.76
2022-12,Predčasný starobný,512.51
2022-12,Invalidný,299.28
2022-12,Vdovský,288.06
2022-12,Vdovecký,234.03
2022-12,Sirotský,155.32
2022-12,Invalidný do 70 %,231.4
2022-12,Invalidný nad 70 %,419.12
2023-01,Starobný,575.24
2023-01,Predčasný starobný,572.01
2023-01,Invalidný,334.61
2023-01,Vdovský,321.81
2023-01,Vdovecký,261.32
2023-01,Sirotský,174.32
2023-01,Invalidný do 70 %,258.74
2023-01,Invalidný nad 70 %,468.6
2023-02,Starobný,576.14
2023-02,Predčasný starobný,573.75
2023-02,Invalidný,335.56
2023-02,Vdovský,322.88
2023-02,Vdovecký,263.12
2023-02,Sirotský,175.81
2023-02,Invalidný do 70 %,259.5
2023-02,Invalidný nad 70 %,470.38
2023-03,Starobný,576.44
2023-03,Predčasný starobný,594.53
2023-03,Invalidný,335.92
2023-03,Vdovský,323.38
2023-03,Vdovecký,264.44
2023-03,Sirotský,176.09
2023-03,Invalidný do 70 %,259.65
2023-03,Invalidný nad 70 %,471.04
2023-04,Starobný,577.93
2023-04,Predčasný starobný,600.56
2023-04,Invalidný,336.35
2023-04,Vdovský,324.78
2023-04,Vdovecký,265.63
2023-04,Sirotský,174.66
2023-04,Invalidný do 70 %,259.95
2023-04,Invalidný nad 70 %,471.72
2023-05,Starobný,578.69
2023-05,Predčasný starobný,604.68
2023-05,Invalidný,336.76
2023-05,Vdovský,325.21
2023-05,Vdovecký,266.42
2023-05,Sirotský,173.14
2023-05,Invalidný do 70 %,260.31
2023-05,Invalidný nad 70 %,472.36
2023-06,Starobný,579.58
2023-06,Predčasný starobný,609.61
2023-06,Invalidný,337.16
2023-06,Vdovský,325.01
2023-06,Vdovecký,266.52
2023-06,Sirotský,173.44
2023-06,Invalidný do 70 %,260.72
2023-06,Invalidný nad 70 %,472.86
2023-07,Starobný,580.06
2023-07,Predčasný starobný,613.1
2023-07,Invalidný,337.49
2023-07,Vdovský,324.94
2023-07,Vdovecký,266.82
2023-07,Sirotský,171.44
2023-07,Invalidný do 70 %,261.07
2023-07,Invalidný nad 70 %,473.28
2023-08,Starobný,642.04
2023-08,Predčasný starobný,678.95
2023-08,Invalidný,373.07
2023-08,Vdovský,359.22
2023-08,Vdovecký,294.94
2023-08,Sirotský,189.32
2023-08,Invalidný do 70 %,288.75
2023-08,Invalidný nad 70 %,523.17
2023-09,Starobný,643.7
2023-09,Predčasný starobný,687.12
2023-09,Invalidný,373.96
2023-09,Vdovský,359.65
2023-09,Vdovecký,296.19
2023-09,Sirotský,190.76
2023-09,Invalidný do 70 %,289.39
2023-09,Invalidný nad 70 %,524.98
2023-10,Starobný,647.68
2023-10,Predčasný starobný,692.13
2023-10,Invalidný,374.24
2023-10,Vdovský,360.16
2023-10,Vdovecký,296.75
2023-10,Sirotský,191.61
2023-10,Invalidný do 70 %,289.69
2023-10,Invalidný nad 70 %,525.57
2023-11,Starobný,648.29
2023-11,Predčasný starobný,696.64
2023-11,Invalidný,374.33
2023-11,Vdovský,360.33
2023-11,Vdovecký,296.71
2023-11,Sirotský,191.74
2023-11,Invalidný do 70 %,289.75
2023-11,Invalidný nad 70 %,525.62
2023-12,Starobný,648.83
2023-12,Predčasný starobný,702.44
2023-12,Invalidný,374.47
2023-12,Vdovský,360.5
2023-12,Vdovecký,297.13
2023-12,Sirotský,194.09
2023-12,Invalidný do 70 %,289.87
2023-12,Invalidný nad 70 %,525.94
2024-01,Starobný,670.96
