mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2022-08,Predčasný starobný,11582,497.33,7554
2022-08,Invalidný,224217,295.59,71304
2022-08,Vdovský,287780,188.8,57794
2022-08,Vdovecký,51578,132.48,7392
2022-09,Starobný,1100429,486.58,550438
2022-09,Predčasný starobný,11770,498.79,7351
2022-09,Invalidný,224011,295.82,67679
2022-09,Vdovský,287383,188.88,54931
2022-09,Vdovecký,51558,132.6,7042
2022-10,Starobný,1102360,487.06,554864
2022-10,Predčasný starobný,11770,499.36,7458
2022-10,Invalidný,223749,296.09,67831
2022-10,Vdovský,287774,188.95,55306
2022-10,Vdovecký,51778,132.72,7217
2022-11,Starobný,1104225,487.36,523539
2022-11,Predčasný starobný,12112,503.3,7280
2022-11,Invalidný,224055,296.45,64748
2022-11,Vdovský,288455,189.02,52246
2022-11,Vdovecký,52046,132.76,6736
2022-12,Starobný,1104304,487.75,583008
2022-12,Predčasný starobný,12311,507.75,8428
2022-12,Invalidný,224143,296.83,72455
2022-12,Vdovský,288358,189.12,58240
2022-12,Vdovecký,52084,132.88,7509
2023-01,Starobný,1105403,541.92,603645
2023-01,Predčasný starobný,12061,566.92,8048
2023-01,Invalidný,223698,331.84,74960
2023-01,Vdovský,288316,211.52,60169
2023-01,Vdovecký,52063,148.59,7829
2023-02,Starobný,1100987,542.85,619189
2023-02,Predčasný starobný,12981,568.74,11241
2023-02,Invalidný,223698,332.78,76489
2023-02,Vdovský,286937,212.08,61866
2023-02,Vdovecký,51838,149.23,8039
2023-03,Starobný,1102878,543.13,651037
2023-03,Predčasný starobný,13993,589.48,11018
2023-03,Invalidný,223244,333.11,80594
2023-03,Vdovský,287520,212.31,65728
2023-03,Vdovecký,52085,149.62,8611
2023-04,Starobný,1102785,544.42,623393
2023-04,Predčasný starobný,13986,595.02,10164
2023-04,Invalidný,222810,333.44,76106
2023-04,Vdovský,288175,212.81,62243
2023-04,Vdovecký,52342,150.25,8117
2023-05,Starobný,1104323,545.12,594457
2023-05,Predčasný starobný,13884,599.27,10119
2023-05,Invalidný,222654,333.82,73522
2023-05,Vdovský,288174,212.99,59050
2023-05,Vdovecký,52421,150.5,7712
2023-06,Starobný,1106488,545.92,657677
2023-06,Predčasný starobný,13899,604.2,10823
2023-06,Invalidný,222339,334.21,81070
2023-06,Vdovský,288317,213.04,65442
2023-06,Vdovecký,52638,150.51,8524
2023-07,Starobný,1110234,546.33,598870
2023-07,Predčasný starobný,13589,607.83,9053
2023-07,Invalidný,222320,334.57,71362
2023-07,Vdovský,289093,213.08,59173
2023-07,Vdovecký,52906,150.48,7711
2023-08,Starobný,1112078,604.66,874898
2023-08,Predčasný starobný,12880,673.61,15174
2023-08,Invalidný,221815,369.83,107697
2023-08,Vdovský,289097,235.66,86599
2023-08,Vdovecký,52943,166.4,11325
2023-09,Starobný,1111698,606.18,640627
2023-09,Predčasný starobný,14303,681.88,12557
2023-09,Invalidný,221606,370.72,76536
2023-09,Vdovský,287993,235.99,63190
2023-09,Vdovecký,52674,166.58,8284
2023-10,Starobný,1114611,609.22,708077
2023-10,Predčasný starobný,15072,687.06,14416
2023-10,Invalidný,221430,371.02,83229
2023-10,Vdovský,288387,236.03,69253
2023-10,Vdovecký,52906,166.6,9124
2023-11,Starobný,1116955,609.75,675544
2023-11,Predčasný starobný,14964,691.67,14601
2023-11,Invalidný,220880,371.11,80978
2023-11,Vdovský,288635,236.07,66358
2023-11,Vdovecký,53062,166.65,8716
2023-12,Starobný,1118242,610.3,728611
2023-12,Predčasný starobný,15427,697.53,17389
2023-12,Invalidný,220349,371.25,87338
2023-12,Vdovský,288365,236.19,71488
2023-12,Vdovecký,53045,166.8,9452
2024-01,Starobný,1118247,631.47,703113
2024-01,Predčasný starobný,16667,730.39,24059
2024-01,Invalidný,220538,385.29,85370
2024-01,Vdovský,288325,244.85,68605
2024-01,Vdovecký,53083,172.92,9030
2024-02,Starobný,1113744,632.97,735080
2024-02,Predčasný starobný,23749,745.14,32340
2024-02,Invalidný,220373,386.81,89477
2024-02,Vdovský,286484,245.19,71968
2024-02,Vdovecký,52715,173.44,9475
2024-03,Starobný,1115298,633.51,756389
2024-03,Predčasný starobný,29102,751.88,43094
2024-03,Invalidný,219272,387.77,91051
2024-03,Vdovský,286744,245.21,73896
2024-03,Vdovecký,52905,173.5,9753
2024-04,Starobný,1115164,634.97,739957
2024-04,Predčasný starobný,35045,754.23,51318
2024-04,Invalidný,217837,388.79,89066
2024-04,Vdovský,286852,245.22,71583
2024-04,Vdovecký,52997,173.59,9515
2024-05,Starobný,1117144,635.86,746541
2024-05,Predčasný starobný,40258,752.88,52931
2024-05,Invalidný,216287,389.56,96148
2024-05,Vdovský,287454,245.3,71847
2024-05,Vdovecký,53272,173.56,9675
2024-06,Starobný,1121502,637.67,709071
2024-06,Predčasný starobný,40869,749.44,35224
2024-06,Invalidný,216931,391.34,91143
2024-06,Vdovský,287936,245.34,68245
2024-06,Vdovecký,53509,173.75,9215
2024-07,Starobný,1124218,638.29,744035
2024-07,Predčasný starobný,42149,743.53,37214
2024-07,Invalidný,217321,392.52,91638
2024-07,Vdovský,288139,245.42,71706
2024-07,Vdovecký,53699,173.87,9567
2024-08,Starobný,1125907,638.94,776134
2024-08,Predčasný starobný,42741,738.28,35483
2024-08,Invalidný,217388,393.51,95827
2024-08,Vdovský,288015,245.48,75003
2024-08,Vdovecký,53737,173.91,10068
2024-09,Starobný,1127657,639.63,710378
2024-09,Predčasný starobný,41907,736.55,31368
2024-09,Invalidný,217721,394.54,86808
2024-09,Vdovský,288001,245.62,68402
2024-09,Vdovecký,53850,174.01,9194
2024-10,Starobný,1129519,640.29,864896
2024-10,Predčasný starobný,40919,735.05,32368
2024-10,Invalidný,217751,395.39,105648
2024-10,Vdovský,288177,245.82,82774
2024-10,Vdovecký,53851,174.21,11127
2024-11,Starobný,1133049,641.92,674157
2024-11,Predčasný starobný,39909,732.23,28186
2024-11,Invalidný,218037,396.1,80881
2024-11,Vdovský,288877,245.98,64669
2024-11,Vdovecký,54259,174.31,8706
2024-12,Starobný,1134690,642.35,748385
2024-12,Predčasný starobný,39055,729.3,30842
2024-12,Invalidný,217975,396.51,87931
2024-12,Vdovský,289000,246.13,71859
2024-12,Vdovecký,54352,174.42,9761
2025-01,Starobný,1136638,656.22,773320
2025-01,Predčasný starobný,37969,742.75,33425
2025-01,Invalidný,217836,405.12,92513
2025-01,Vdovský,289151,251.47,73939
2025-01,Vdovecký,54471,178.31,10050
2025-02,Starobný,1133706,657.43,767952
2025-02,Predčasný starobný,39991,741.25,36854
2025-02,Invalidný,217740,405.97,89676
2025-02,Vdovský,287477,251.86,73181
2025-02,Vdovecký,54103,178.78,9875
2025-03,Starobný,1134102,658.04,737202
2025-03,Predčasný starobný,42859,742.35,32229
2025-03,Invalidný,217347,406.76,88707
2025-03,Vdovský,287423,251.94,70231
2025-03,Vdovecký,54138,178.86,9534
2025-04,Starobný,1134148,659.2,807357
2025-04,Predčasný starobný,42538,742.74,34215
2025-04,Invalidný,218105,407.6,97269
2025-04,Vdovský,287911,252.18,76943
2025-04,Vdovecký,54434,179.04,10464
2025-05,Starobný,1134810,659.52,768930
2025-05,Predčasný starobný,41303,739.81,31626
2025-05,Invalidný,218267,408.14,92335
2025-05,Vdovský,288050,252.35,73645
2025-05,Vdovecký,54573,179.22,10043
2025-06,Starobný,1135298,659.91,743599
2025-06,Predčasný starobný,40184,737.45,29347
2025-06,Invalidný,218458,408.59,88202
2025-06,Vdovský,288141,252.49,70401
2025-06,Vdovecký,54692,179.28,9596
2025-07,Starobný,1136583,660.21,780824
2025-07,Predčasný starobný,38512,734.59,29703
2025-07,Invalidný,218686,408.71,93005
2025-07,Vdovský,288242,252.75,74527
2025-07,Vdovecký,54838,179.48,10188
2025-08,Starobný,1137344,660.59,764317
2025-08,Predčasný starobný,36957,731.13,27581
2025-08,Invalidný,218916,409.03,88756
2025-08,Vdovský,288034,252.89,72962
2025-08,Vdovecký,54917,179.55,9969
2025-09,Starobný,1138925,660.9,773506
2025-09,Predčasný starobný,35192,727.93,26522
2025-09,Invalidný,218787,409.03,90235
2025-09,Vdovský,287924,252.97,73663
2025-09,Vdovecký,54940,179.64,10111
2025-10,Starobný,1140155,661.26,828455
2025-10,Predčasný starobný,33572,725.24,26849
2025-10,Invalidný,218588,409.05,96428
2025-10,Vdovský,287798,253.17,78793
2025-10,Vdovecký,54930,179.74,10814
2025-11,Starobný,1143283,661.39,737406
2025-11,Predčasný starobný,32047,722.91,22773
2025-11,Invalidný,218558,409.03,84761
2025-11,Vdovský,288321,253.34,70052
2025-11,Vdovecký,55143,179.86,9655
2025-12,Starobný,1144849,661.62,833375
2025-12,Predčasný starobný,30619,720.21,24584
2025-12,Invalidný,218372,408.87,95940
2025-12,Vdovský,288329,253.49,79236
2025-12,Vdovecký,55183,180.04,10872
2026-01,Starobný,1146712,686.28,807459
2026-01,Predčasný starobný,29280,744.01,22606
2026-01,Invalidný,218198,423.79,92096
2026-01,Vdovský,288411,263.04,76269
2026-01,Vdovecký,55215,186.84,10494
2026-02,Starobný,1142764,686.98,816757
2026-02,Predčasný starobný,28415,740.12,22758
2026-02,Invalidný,218285,423.62,92116
2026-02,Vdovský,286366,263.55,76327
2026-02,Vdovecký,54703,187.37,10471
2026-03,Starobný,1144085,687.49,799453
2026-03,Predčasný starobný,27703,737.82,21352
2026-03,Invalidný,218070,423.71,91025
2026-03,Vdovský,286547,263.7,75250
2026-03,Vdovecký,54814,187.51,10382
2026-04,Starobný,1144710,732.05,912021
2026-04,Predčasný starobný,26708,738.78,23133
2026-04,Invalidný,217928,426.94,103387
2026-04,Vdovský,286674,400.12,85739
2026-04,Vdovecký,54926,336.6,11846
