mesiac,druh,pocet,priemer_eur,vydavky_tis_eur
2014-06,Starobný,1005325,373.58,369472
2014-06,Predčasný starobný,20137,391.42,7686
2014-06,Invalidný,230837,266.97,59002
2014-06,Vdovský,293304,155.76,43714
2014-06,Vdovecký,39961,106.31,4249
2014-07,Starobný,1009143,373.76,403434
2014-07,Predčasný starobný,20443,389.51,8510
2014-07,Invalidný,231121,266.71,64797
2014-07,Vdovský,293530,155.69,47934
2014-07,Vdovecký,40162,106.29,4598
2014-08,Starobný,1012093,373.96,411341
2014-08,Predčasný starobný,20760,387.51,8829
2014-08,Invalidný,231475,266.34,65837
2014-08,Vdovský,293835,155.67,49025
2014-08,Vdovecký,40320,106.19,4659
2014-09,Starobný,1014044,374.18,365156
2014-09,Predčasný starobný,20802,386.1,7783
2014-09,Invalidný,231651,266.07,58009
2014-09,Vdovský,293513,155.64,43394
2014-09,Vdovecký,40313,106.24,4186
2014-10,Starobný,1014615,374.51,423545
2014-10,Predčasný starobný,21309,384.63,9166
2014-10,Invalidný,232023,265.65,67413
2014-10,Vdovský,293413,155.72,50189
2014-10,Vdovecký,40409,106.36,4824
2014-11,Starobný,1017497,374.73,366132
2014-11,Predčasný starobný,21565,383.74,8023
2014-11,Invalidný,232792,265.34,58192
2014-11,Vdovský,294621,155.85,43653
2014-11,Vdovecký,40829,106.42,4227
2014-12,Starobný,1018814,374.88,422581
2014-12,Predčasný starobný,21348,382.54,9102
2014-12,Invalidný,233009,264.99,67355
2014-12,Vdovský,294986,155.93,50274
2014-12,Vdovecký,40960,106.51,4907
2015-01,Starobný,1019249,380.07,396406
2015-01,Predčasný starobný,21143,386.34,8425
2015-01,Invalidný,233200,268.08,62527
2015-01,Vdovský,295042,158.06,47136
2015-01,Vdovecký,41033,108.42,4572
2015-02,Starobný,1014467,380.6,399707
2015-02,Predčasný starobný,22190,387.4,8985
2015-02,Invalidný,233953,267.51,63511
2015-02,Vdovský,293303,158.22,47421
2015-02,Vdovecký,40783,108.76,4659
2015-03,Starobný,1014222,380.97,373886
2015-03,Predčasný starobný,22853,387.81,8647
2015-03,Invalidný,234167,267.06,59065
2015-03,Vdovský,293001,158.32,44229
2015-03,Vdovecký,40854,108.82,4378
2015-04,Starobný,1015389,382.27,467694
2015-04,Predčasný starobný,22368,388.21,10491
2015-04,Invalidný,234630,266.58,73792
2015-04,Vdovský,293075,158.36,55129
2015-04,Vdovecký,41057,108.79,5365
2015-05,Starobný,1015076,382.83,331624
2015-05,Predčasný starobný,21609,387.6,7255
2015-05,Invalidný,234594,266.14,51811
2015-05,Vdovský,292425,158.21,38858
2015-05,Vdovecký,41015,108.83,3845
2015-06,Starobný,1016376,383.23,402974
2015-06,Predčasný starobný,21173,388.19,8591
2015-06,Invalidný,234892,265.84,63369
2015-06,Vdovský,292612,158.18,47284
2015-06,Vdovecký,41224,108.82,4647
2015-07,Starobný,1019049,383.55,432714
2015-07,Predčasný starobný,20842,388.22,9001
2015-07,Invalidný,235306,265.56,67709
2015-07,Vdovský,292491,158.12,50516
2015-07,Vdovecký,41296,108.82,5001
2015-08,Starobný,1021463,383.75,402176
2015-08,Predčasný starobný,20521,388.74,8270
2015-08,Invalidný,235489,265.19,62600
2015-08,Vdovský,292544,158.12,46932
2015-08,Vdovecký,41370,108.92,4634
2015-09,Starobný,1022934,383.92,379128
2015-09,Predčasný starobný,20161,389.58,7596
2015-09,Invalidný,235470,264.86,58437
2015-09,Vdovský,292117,158.06,43720
2015-09,Vdovecký,41341,108.94,4353
2015-10,Starobný,1025506,384.23,435961
2015-10,Predčasný starobný,19924,389.93,8568
2015-10,Invalidný,235265,264.52,66818
2015-10,Vdovský,291959,158.1,50304
2015-10,Vdovecký,41402,109.09,5014
2015-11,Starobný,1029725,385.23,381547
2015-11,Predčasný starobný,19335,390.29,7303
2015-11,Invalidný,235022,264.38,58223
2015-11,Vdovský,292767,158.15,43939
2015-11,Vdovecký,41649,109.12,4372
2015-12,Starobný,1032197,385.36,480710
2015-12,Predčasný starobný,18351,390.72,8753
2015-12,Invalidný,234451,264.13,73538
2015-12,Vdovský,292827,158.19,55201
2015-12,Vdovecký,41720,109.16,5512
2016-01,Starobný,1034106,387.49,337648
2016-01,Predčasný starobný,17573,392.34,6633
2016-01,Invalidný,234115,265.05,52430
2016-01,Vdovský,292410,158.98,38493
2016-01,Vdovecký,41669,109.98,3872
2016-02,Starobný,1033106,388.09,411555
2016-02,Predčasný starobný,17865,392.88,8770
2016-02,Invalidný,234437,264.65,64487
2016-02,Vdovský,290707,159.12,46676
2016-02,Vdovecký,41356,110.29,4746
2016-03,Starobný,1035022,388.34,422032
2016-03,Predčasný starobný,18229,394.62,8567
2016-03,Invalidný,234295,264.42,65682
2016-03,Vdovský,290686,159.12,47731
2016-03,Vdovecký,41475,110.33,4883
2016-04,Starobný,1036702,389.01,433606
2016-04,Predčasný starobný,18538,393.97,8724
2016-04,Invalidný,233833,264.11,67065
2016-04,Vdovský,290905,159.11,48901
2016-04,Vdovecký,42182,109.74,5039
2016-05,Starobný,1039068,389.4,390178
2016-05,Predčasný starobný,18602,392.48,8180
2016-05,Invalidný,233459,263.79,60766
2016-05,Vdovský,291439,159.03,43650
2016-05,Vdovecký,42932,109.19,4599
2016-06,Starobný,1041894,389.83,426423
2016-06,Predčasný starobný,18858,391.81,8769
2016-06,Invalidný,233479,263.46,66333
2016-06,Vdovský,292344,158.9,48161
2016-06,Vdovecký,43574,108.76,5077
2016-07,Starobný,1043914,390.2,410084
2016-07,Predčasný starobný,19135,390.03,8319
2016-07,Invalidný,233791,263.14,63114
2016-07,Vdovský,293708,158.81,46174
2016-07,Vdovecký,44386,108.17,4856
2016-08,Starobný,1044737,390.51,449225
2016-08,Predčasný starobný,19215,388.3,9324
2016-08,Invalidný,234308,262.67,69376
2016-08,Vdovský,294553,158.79,50737
2016-08,Vdovecký,44950,107.81,5414
2016-09,Starobný,1045209,390.8,417179
2016-09,Predčasný starobný,19502,387.92,9055
2016-09,Invalidný,234592,262.24,63682
2016-09,Vdovský,294953,158.75,47283
2016-09,Vdovecký,45179,107.6,5026
2016-10,Starobný,1045110,391.15,417772
2016-10,Predčasný starobný,20016,388.06,9278
2016-10,Invalidný,234835,261.94,64228
2016-10,Vdovský,295221,158.79,47278
2016-10,Vdovecký,45419,107.45,5064
2016-11,Starobný,1047599,391.35,394119
2016-11,Predčasný starobný,20351,387.53,8987
2016-11,Invalidný,235208,261.68,60536
2016-11,Vdovský,296224,158.86,44732
2016-11,Vdovecký,45766,107.44,4858
2016-12,Starobný,1048842,391.53,447581
2016-12,Predčasný starobný,20232,386.58,9970
2016-12,Invalidný,235131,261.41,68569
2016-12,Vdovský,296569,158.91,50663
2016-12,Vdovecký,45959,107.46,5494
2017-01,Starobný,1049276,399.26,402640
2017-01,Predčasný starobný,19696,395.19,9476
2017-01,Invalidný,236056,266.56,60927
2017-01,Vdovský,296799,162.13,45560
2017-01,Vdovecký,46254,110.19,4969
2017-02,Starobný,1042762,399.96,423802
2017-02,Predčasný starobný,21502,399.34,11585
2017-02,Invalidný,237534,266.31,64561
2017-02,Vdovský,294873,162.38,48088
2017-02,Vdovecký,46011,110.43,5215
2017-03,Starobný,1042187,400.26,454917
2017-03,Predčasný starobný,22913,405.6,11357
2017-03,Invalidný,237894,266.33,69900
