mesiac,druh,vydavky_tis_eur
2022-04,Vdovský,57114
2022-04,Vdovecký,7257
2022-04,Sirotský,3622
2022-05,Starobný,519419
2022-05,Predčasný starobný,7303
2022-05,Invalidný,65573
2022-05,Vdovský,52096
2022-05,Vdovecký,6698
2022-05,Sirotský,3190
2022-06,Starobný,556366
2022-06,Predčasný starobný,7484
2022-06,Invalidný,69838
2022-06,Vdovský,55861
2022-06,Vdovecký,7183
2022-06,Sirotský,3425
2022-07,Starobný,541858
2022-07,Predčasný starobný,6790
2022-07,Invalidný,66892
2022-07,Vdovský,54234
2022-07,Vdovecký,6936
2022-07,Sirotský,2924
2022-08,Starobný,576284
2022-08,Predčasný starobný,7554
2022-08,Invalidný,71304
2022-08,Vdovský,57794
2022-08,Vdovecký,7392
2022-08,Sirotský,3142
2022-09,Starobný,550438
2022-09,Predčasný starobný,7351
2022-09,Invalidný,67679
2022-09,Vdovský,54931
2022-09,Vdovecký,7042
2022-09,Sirotský,2987
2022-10,Starobný,554864
2022-10,Predčasný starobný,7458
2022-10,Invalidný,67831
2022-10,Vdovský,55306
2022-10,Vdovecký,7217
2022-10,Sirotský,3604
2022-11,Starobný,523539
2022-11,Predčasný starobný,7280
2022-11,Invalidný,64748
2022-11,Vdovský,52246
2022-11,Vdovecký,6736
2022-11,Sirotský,3491
2022-12,Starobný,583008
2022-12,Predčasný starobný,8428
2022-12,Invalidný,72455
2022-12,Vdovský,58240
2022-12,Vdovecký,7509
2022-12,Sirotský,3708
2023-01,Starobný,603645
2023-01,Predčasný starobný,8048
2023-01,Invalidný,74960
2023-01,Vdovský,60169
2023-01,Vdovecký,7829
2023-01,Sirotský,4002
2023-02,Starobný,619189
2023-02,Predčasný starobný,11241
2023-02,Invalidný,76489
2023-02,Vdovský,61866
2023-02,Vdovecký,8039
2023-02,Sirotský,4059
2023-03,Starobný,651037
2023-03,Predčasný starobný,11018
2023-03,Invalidný,80594
2023-03,Vdovský,65728
2023-03,Vdovecký,8611
2023-03,Sirotský,4263
2023-03,Rodičovský,213
2023-04,Starobný,623393
2023-04,Predčasný starobný,10164
2023-04,Invalidný,76106
2023-04,Vdovský,62243
2023-04,Vdovecký,8117
2023-04,Sirotský,3872
2023-04,Rodičovský,14477
2023-05,Starobný,594457
2023-05,Predčasný starobný,10119
2023-05,Invalidný,73522
2023-05,Vdovský,59050
2023-05,Vdovecký,7712
2023-05,Sirotský,3621
2023-05,Rodičovský,247426
2023-06,Starobný,657677
2023-06,Predčasný starobný,10823
2023-06,Invalidný,81070
2023-06,Vdovský,65442
2023-06,Vdovecký,8524
2023-06,Sirotský,3981
2023-06,Rodičovský,7668
2023-07,Starobný,598870
2023-07,Predčasný starobný,9053
2023-07,Invalidný,71362
2023-07,Vdovský,59173
2023-07,Vdovecký,7711
2023-07,Sirotský,3152
2023-07,Rodičovský,2346
2023-08,Starobný,874898
2023-08,Predčasný starobný,15174
2023-08,Invalidný,107697
2023-08,Vdovský,86599
2023-08,Vdovecký,11325
2023-08,Sirotský,4722
2023-08,Rodičovský,6613
2023-09,Starobný,640627
2023-09,Predčasný starobný,12557
2023-09,Invalidný,76536
2023-09,Vdovský,63190
2023-09,Vdovecký,8284
2023-09,Sirotský,3324
2023-09,Rodičovský,3449
2023-10,Starobný,708077
2023-10,Predčasný starobný,14416
2023-10,Invalidný,83229
2023-10,Vdovský,69253
2023-10,Vdovecký,9124
2023-10,Sirotský,4240
2023-10,Rodičovský,2753
2023-11,Starobný,675544
2023-11,Predčasný starobný,14601
2023-11,Invalidný,80978
2023-11,Vdovský,66358
2023-11,Vdovecký,8716
2023-11,Sirotský,4385
2023-11,Rodičovský,780
2023-12,Starobný,728611
2023-12,Predčasný starobný,17389
2023-12,Invalidný,87338
2023-12,Vdovský,71488
2023-12,Vdovecký,9452
2023-12,Sirotský,4491
2023-12,Rodičovský,343
2024-01,Starobný,703113
2024-01,Predčasný starobný,24059
2024-01,Invalidný,85370
2024-01,Vdovský,68605
2024-01,Vdovecký,9030
2024-01,Sirotský,4735
2024-01,Rodičovský,315
2024-02,Starobný,735080
2024-02,Predčasný starobný,32340
2024-02,Invalidný,89477
2024-02,Vdovský,71968
2024-02,Vdovecký,9475
2024-02,Sirotský,4867
2024-02,Rodičovský,210
2024-03,Starobný,756389
2024-03,Predčasný starobný,43094
2024-03,Invalidný,91051
2024-03,Vdovský,73896
2024-03,Vdovecký,9753
2024-03,Sirotský,4786
2024-03,Rodičovský,135
2024-04,Starobný,739957
2024-04,Predčasný starobný,51318
2024-04,Invalidný,89066
2024-04,Vdovský,71583
2024-04,Vdovecký,9515
2024-04,Sirotský,4602
2024-04,Rodičovský,113
2024-05,Starobný,746541
2024-05,Predčasný starobný,52931
2024-05,Invalidný,96148
2024-05,Vdovský,71847
2024-05,Vdovecký,9675
2024-05,Sirotský,4640
2024-05,Rodičovský,15952
2024-06,Starobný,709071
2024-06,Predčasný starobný,35224
2024-06,Invalidný,91143
2024-06,Vdovský,68245
2024-06,Vdovecký,9215
2024-06,Sirotský,4334
2024-06,Rodičovský,295308
2024-07,Starobný,744035
2024-07,Predčasný starobný,37214
2024-07,Invalidný,91638
2024-07,Vdovský,71706
2024-07,Vdovecký,9567
2024-07,Sirotský,3889
2024-07,Rodičovský,593
2024-08,Starobný,776134
2024-08,Predčasný starobný,35483
2024-08,Invalidný,95827
2024-08,Vdovský,75003
2024-08,Vdovecký,10068
2024-08,Sirotský,4045
2024-08,Rodičovský,1303
2024-09,Starobný,710378
2024-09,Predčasný starobný,31368
2024-09,Invalidný,86808
2024-09,Vdovský,68402
2024-09,Vdovecký,9194
2024-09,Sirotský,3780
2024-09,Rodičovský,801
2024-10,Starobný,864896
2024-10,Predčasný starobný,32368
2024-10,Invalidný,105648
2024-10,Vdovský,82774
2024-10,Vdovecký,11127
2024-10,Sirotský,5891
2024-10,Rodičovský,1801
2024-11,Starobný,674157
2024-11,Predčasný starobný,28186
2024-11,Invalidný,80881
2024-11,Vdovský,64669
2024-11,Vdovecký,8706
2024-11,Sirotský,4402
2024-11,Rodičovský,308
2024-11,13. dôchodok,52892
2024-12,Starobný,748385
2024-12,Predčasný starobný,30842
2024-12,Invalidný,87931
2024-12,Vdovský,71859
2024-12,Vdovecký,9761
2024-12,Sirotský,4545
2024-12,Rodičovský,232
2024-12,13. dôchodok,770127
2025-01,Starobný,773320
2025-01,Predčasný starobný,33425
2025-01,Invalidný,92513
2025-01,Vdovský,73939
2025-01,Vdovecký,10050
2025-01,Sirotský,4875
2025-01,Rodičovský,148
2025-01,13. dôchodok,4191
2025-02,Starobný,767952
2025-02,Predčasný starobný,36854
2025-02,Invalidný,89676
2025-02,Vdovský,73181
2025-02,Vdovecký,9875
2025-02,Sirotský,4738
2025-02,Rodičovský,104
2025-02,13. dôchodok,4469
2025-03,Starobný,737202
2025-03,Predčasný starobný,32229
2025-03,Invalidný,88707
2025-03,Vdovský,70231
2025-03,Vdovecký,9534
2025-03,Sirotský,4665
2025-03,Rodičovský,67
2025-03,13. dôchodok,2235
2025-04,Starobný,807357
2025-04,Predčasný starobný,34215
2025-04,Invalidný,97269
2025-04,Vdovský,76943
2025-04,Vdovecký,10464
2025-04,Sirotský,4913
2025-04,Rodičovský,64
2025-04,13. dôchodok,2426
2025-05,Starobný,768930
2025-05,Predčasný starobný,31626
2025-05,Invalidný,92335
2025-05,Vdovský,73645
2025-05,Vdovecký,10043
2025-05,Sirotský,4462
2025-05,Rodičovský,34
2025-05,13. dôchodok,2485
2025-06,Starobný,743599
2025-06,Predčasný starobný,29347
2025-06,Invalidný,88202
2025-06,Vdovský,70401
2025-06,Vdovecký,9596
2025-06,Sirotský,4292
2025-06,Rodičovský,34
2025-06,13. dôchodok,840
2025-07,Starobný,780824
2025-07,Predčasný starobný,29703
2025-07,Invalidný,93005
2025-07,Vdovský,74527
2025-07,Vdovecký,10188
2025-07,Sirotský,3924
2025-07,Rodičovský,25
2025-07,13. dôchodok,648
2025-08,Starobný,764317
2025-08,Predčasný starobný,27581
2025-08,Invalidný,88756
2025-08,Vdovský,72962
2025-08,Vdovecký,9969
2025-08,Sirotský,3752
2025-08,Rodičovský,20
2025-08,13. dôchodok,378
2025-09,Starobný,773506
2025-09,Predčasný starobný,26522
2025-09,Invalidný,90235
2025-09,Vdovský,73663
2025-09,Vdovecký,10111
2025-09,Sirotský,4073
2025-09,Rodičovský,16
2025-09,13. dôchodok,314
2025-10,Starobný,828455
2025-10,Predčasný starobný,26849
2025-10,Invalidný,96428
2025-10,Vdovský,78793
2025-10,Vdovecký,10814
2025-10,Sirotský,5735
2025-10,Rodičovský,17
2025-10,13. dôchodok,416
2025-11,Starobný,737406
2025-11,Predčasný starobný,22773
2025-11,Invalidný,84761
2025-11,Vdovský,70052
2025-11,Vdovecký,9655
2025-11,Sirotský,4599
2025-11,Rodičovský,23
2025-11,13. dôchodok,29328
2025-12,Starobný,833375
2025-12,Predčasný starobný,24584
2025-12,Invalidný,95940
2025-12,Vdovský,79236
2025-12,Vdovecký,10872
2025-12,Sirotský,4997
2025-12,Rodičovský,14
2025-12,13. dôchodok,877986
2026-01,Starobný,807459
2026-01,Predčasný starobný,22606
2026-01,Invalidný,92096
2026-01,Vdovský,76269
2026-01,Vdovecký,10494
2026-01,Sirotský,4917
2026-01,Rodičovský,16
2026-01,13. dôchodok,4021
2026-02,Starobný,816757
2026-02,Predčasný starobný,22758
2026-02,Invalidný,92116
2026-02,Vdovský,76327
2026-02,Vdovecký,10471
2026-02,Sirotský,4974
2026-02,Rodičovský,20
2026-02,13. dôchodok,2399
2026-03,Starobný,799453
2026-03,Predčasný starobný,21352
2026-03,Invalidný,91025
2026-03,Vdovský,75250
2026-03,Vdovecký,10382
2026-03,Sirotský,4901
2026-03,Rodičovský,11
2026-03,13. dôchodok,1562
2026-04,Starobný,912021
2026-04,Predčasný starobný,23133
2026-04,Invalidný,103387
2026-04,Vdovský,85739
2026-04,Vdovecký,11846
2026-04,Sirotský,5379
2026-04,Rodičovský,17
2026-04,13. dôchodok,1200
