mesiac,druh,vydavky_tis_eur
2012-01,Vdovský,41699
2012-01,Vdovecký,3543
2012-01,Sirotský,3371
2012-02,Starobný,347188
2012-02,Predčasný starobný,11960
2012-02,Invalidný,60995
2012-02,Vdovský,45225
2012-02,Vdovecký,3842
2012-02,Sirotský,3816
2012-03,Starobný,366667
2012-03,Predčasný starobný,12427
2012-03,Invalidný,64466
2012-03,Vdovský,47575
2012-03,Vdovecký,4056
2012-03,Sirotský,4068
2012-04,Starobný,336997.12
2012-04,Predčasný starobný,11180.32
2012-04,Invalidný,58939.98
2012-04,Vdovský,43675.33
2012-04,Vdovecký,3738.53
2012-04,Sirotský,3743.82
2012-05,Starobný,330432.88
2012-05,Predčasný starobný,10548.68
2012-05,Invalidný,57406.02
2012-05,Vdovský,42457.67
2012-05,Vdovecký,3668.47
2012-05,Sirotský,3635.18
2012-06,Starobný,364832
2012-06,Predčasný starobný,11337
2012-06,Invalidný,63494
2012-06,Vdovský,46846
2012-06,Vdovecký,4042
2012-06,Sirotský,3772
2012-07,Starobný,318724
2012-07,Predčasný starobný,9573
2012-07,Invalidný,55261
2012-07,Vdovský,40681
2012-07,Vdovecký,3519
2012-07,Sirotský,3101
2012-08,Starobný,371457
2012-08,Predčasný starobný,10778
2012-08,Invalidný,64322
2012-08,Vdovský,47254
2012-08,Vdovecký,4092
2012-08,Sirotský,3500
2012-09,Starobný,322026
2012-09,Predčasný starobný,9143
2012-09,Invalidný,55490
2012-09,Vdovský,40771
2012-09,Vdovecký,3554
2012-09,Sirotský,2833
2012-10,Starobný,382873
2012-10,Predčasný starobný,10709
2012-10,Invalidný,65788
2012-10,Vdovský,48442
2012-10,Vdovecký,4236
2012-10,Sirotský,3782
2012-11,Starobný,353456
2012-11,Predčasný starobný,9798
2012-11,Invalidný,60665
2012-11,Vdovský,44766
2012-11,Vdovecký,3971
2012-11,Sirotský,3639
2012-12,Starobný,350924
2012-12,Predčasný starobný,9422
2012-12,Invalidný,60079
2012-12,Vdovský,44452
2012-12,Vdovecký,3907
2012-12,Sirotský,3540
2013-01,Starobný,354378
2013-01,Predčasný starobný,9350
2013-01,Invalidný,59973
2013-01,Vdovský,44567
2013-01,Vdovecký,3987
2013-01,Sirotský,3528
2013-02,Starobný,366258
2013-02,Predčasný starobný,10517
2013-02,Invalidný,62730
2013-02,Vdovský,46096
2013-02,Vdovecký,4146
2013-02,Sirotský,3752
2013-03,Starobný,365540
2013-03,Predčasný starobný,10432
2013-03,Invalidný,62315
2013-03,Vdovský,45993
2013-03,Vdovecký,4152
2013-03,Sirotský,3779
2013-04,Starobný,370283
2013-04,Predčasný starobný,10459
2013-04,Invalidný,63224
2013-04,Vdovský,46394
2013-04,Vdovecký,4186
2013-04,Sirotský,3825
2013-05,Starobný,362902
2013-05,Predčasný starobný,10212
2013-05,Invalidný,62017
2013-05,Vdovský,45517
2013-05,Vdovecký,4147
2013-05,Sirotský,3732
2013-06,Starobný,335562
2013-06,Predčasný starobný,9450
2013-06,Invalidný,57125
2013-06,Vdovský,42125
2013-06,Vdovecký,3909
2013-06,Sirotský,3258
2013-07,Starobný,364655
2013-07,Predčasný starobný,9975
2013-07,Invalidný,61865
2013-07,Vdovský,45573
2013-07,Vdovecký,4198
2013-07,Sirotský,3395
2013-08,Starobný,392773
2013-08,Predčasný starobný,10344
2013-08,Invalidný,66355
2013-08,Vdovský,48932
2013-08,Vdovecký,4471
2013-08,Sirotský,3504
2013-09,Starobný,340773
2013-09,Predčasný starobný,8880
2013-09,Invalidný,57369
2013-09,Vdovský,42236
2013-09,Vdovecký,3904
2013-09,Sirotský,2804
2013-10,Starobný,435072
2013-10,Predčasný starobný,11067
2013-10,Invalidný,73151
2013-10,Vdovský,54030
2013-10,Vdovecký,5017
2013-10,Sirotský,4137
2013-11,Starobný,333262
2013-11,Predčasný starobný,8235
2013-11,Invalidný,55628
2013-11,Vdovský,41379
2013-11,Vdovecký,3823
2013-11,Sirotský,3271
2013-12,Starobný,369714
2013-12,Predčasný starobný,8723
2013-12,Invalidný,61843
2013-12,Vdovský,45860
2013-12,Vdovecký,4237
2013-12,Sirotský,3548
2014-01,Starobný,384350
2014-01,Predčasný starobný,8657
2014-01,Invalidný,63760
2014-01,Vdovský,47208
2014-01,Vdovecký,4457
2014-01,Sirotský,3557
2014-02,Starobný,391127
2014-02,Predčasný starobný,8924
2014-02,Invalidný,63174
2014-02,Vdovský,46836
2014-02,Vdovecký,4462
2014-02,Sirotský,3631
2014-03,Starobný,367466
2014-03,Predčasný starobný,8342
2014-03,Invalidný,58651
2014-03,Vdovský,43548
2014-03,Vdovecký,4259
2014-03,Sirotský,3403
