mesiac,druh,pocet
2012-08,Vdovský,296980
2012-08,Vdovecký,38455
2012-09,Starobný,974263
2012-09,Predčasný starobný,25013
2012-09,Invalidný,227175
2012-09,Vdovský,296568
2012-09,Vdovecký,38471
2012-10,Starobný,975951
2012-10,Predčasný starobný,24944
2012-10,Invalidný,227188
2012-10,Vdovský,296799
2012-10,Vdovecký,38644
2012-11,Starobný,979290
2012-11,Predčasný starobný,24927
2012-11,Invalidný,227770
2012-11,Vdovský,297727
2012-11,Vdovecký,38952
2012-12,Starobný,980863
2012-12,Predčasný starobný,24404
2012-12,Invalidný,227801
2012-12,Vdovský,297828
2012-12,Vdovecký,39049
2013-01,Starobný,981576
2013-01,Predčasný starobný,24163
2013-01,Invalidný,227902
2013-01,Vdovský,297810
2013-01,Vdovecký,39191
2013-02,Starobný,976965
2013-02,Predčasný starobný,25788
2013-02,Invalidný,228402
2013-02,Vdovský,296264
2013-02,Vdovecký,39001
2013-03,Starobný,977160
2013-03,Predčasný starobný,25584
2013-03,Invalidný,228914
2013-03,Vdovský,296186
2013-03,Vdovecký,39107
2013-04,Starobný,976917
2013-04,Predčasný starobný,25445
2013-04,Invalidný,229441
2013-04,Vdovský,295959
2013-04,Vdovecký,39205
2013-05,Starobný,976774
2013-05,Predčasný starobný,25659
2013-05,Invalidný,229976
2013-05,Vdovský,295952
2013-05,Vdovecký,39317
2013-06,Starobný,976570
2013-06,Predčasný starobný,25884
2013-06,Invalidný,230573
2013-06,Vdovský,295904
2013-06,Vdovecký,39398
2013-07,Starobný,977673
2013-07,Predčasný starobný,25275
2013-07,Invalidný,231191
2013-07,Vdovský,295898
2013-07,Vdovecký,39499
2013-08,Starobný,978349
2013-08,Predčasný starobný,24583
2013-08,Invalidný,231489
2013-08,Vdovský,295469
2013-08,Vdovecký,39470
2013-09,Starobný,979367
2013-09,Predčasný starobný,24116
2013-09,Invalidný,231474
2013-09,Vdovský,294895
2013-09,Vdovecký,39378
2013-10,Starobný,981683
2013-10,Predčasný starobný,23701
2013-10,Invalidný,231526
2013-10,Vdovský,295003
2013-10,Vdovecký,39575
2013-11,Starobný,986014
2013-11,Predčasný starobný,23000
2013-11,Invalidný,231694
2013-11,Vdovský,295858
2013-11,Vdovecký,39880
2013-12,Starobný,988277
2013-12,Predčasný starobný,21935
2013-12,Invalidný,231547
2013-12,Vdovský,295894
2013-12,Vdovecký,39918
2014-01,Starobný,991144
2014-01,Predčasný starobný,21142
2014-01,Invalidný,231424
2014-01,Vdovský,296148
2014-01,Vdovecký,40082
2014-02,Starobný,990564
2014-02,Predčasný starobný,21755
2014-02,Invalidný,231421
2014-02,Vdovský,294453
2014-02,Vdovecký,39868
2014-03,Starobný,994034
2014-03,Predčasný starobný,21637
2014-03,Invalidný,231049
2014-03,Vdovský,294052
2014-03,Vdovecký,39861
2014-04,Starobný,998476
2014-04,Predčasný starobný,21272
2014-04,Invalidný,230889
2014-04,Vdovský,293905
2014-04,Vdovecký,39909
2014-05,Starobný,1001751
2014-05,Predčasný starobný,20557
2014-05,Invalidný,230817
2014-05,Vdovský,293581
2014-05,Vdovecký,39893
2014-06,Starobný,1005325
2014-06,Predčasný starobný,20137
2014-06,Invalidný,230837
2014-06,Vdovský,293304
2014-06,Vdovecký,39961
2014-07,Starobný,1009143
2014-07,Predčasný starobný,20443
2014-07,Invalidný,231121
2014-07,Vdovský,293530
2014-07,Vdovecký,40162
2014-08,Starobný,1012093
2014-08,Predčasný starobný,20760
2014-08,Invalidný,231475
2014-08,Vdovský,293835
2014-08,Vdovecký,40320
2014-09,Starobný,1014044
2014-09,Predčasný starobný,20802
2014-09,Invalidný,231651
2014-09,Vdovský,293513
2014-09,Vdovecký,40313
2014-10,Starobný,1014615
2014-10,Predčasný starobný,21309
2014-10,Invalidný,232023
2014-10,Vdovský,293413
2014-10,Vdovecký,40409
2014-11,Starobný,1017497
2014-11,Predčasný starobný,21565
2014-11,Invalidný,232792
2014-11,Vdovský,294621
2014-11,Vdovecký,40829
2014-12,Starobný,1018814
2014-12,Predčasný starobný,21348
2014-12,Invalidný,233009
2014-12,Vdovský,294986
2014-12,Vdovecký,40960
2015-01,Starobný,1019249
2015-01,Predčasný starobný,21143
2015-01,Invalidný,233200
2015-01,Vdovský,295042
2015-01,Vdovecký,41033
2015-02,Starobný,1014467
2015-02,Predčasný starobný,22190
2015-02,Invalidný,233953
2015-02,Vdovský,293303
2015-02,Vdovecký,40783
2015-03,Starobný,1014222
2015-03,Predčasný starobný,22853
2015-03,Invalidný,234167
2015-03,Vdovský,293001
2015-03,Vdovecký,40854
2015-04,Starobný,1015389
2015-04,Predčasný starobný,22368
2015-04,Invalidný,234630
2015-04,Vdovský,293075
2015-04,Vdovecký,41057
2015-05,Starobný,1015076
2015-05,Predčasný starobný,21609
2015-05,Invalidný,234594
2015-05,Vdovský,292425
2015-05,Vdovecký,41015
2015-06,Starobný,1016376
2015-06,Predčasný starobný,21173
2015-06,Invalidný,234892
2015-06,Vdovský,292612
2015-06,Vdovecký,41224
2015-07,Starobný,1019049
2015-07,Predčasný starobný,20842
2015-07,Invalidný,235306
2015-07,Vdovský,292491
2015-07,Vdovecký,41296
2015-08,Starobný,1021463
2015-08,Predčasný starobný,20521
2015-08,Invalidný,235489
2015-08,Vdovský,292544
2015-08,Vdovecký,41370
2015-09,Starobný,1022934
2015-09,Predčasný starobný,20161
2015-09,Invalidný,235470
2015-09,Vdovský,292117
2015-09,Vdovecký,41341
2015-10,Starobný,1025506
2015-10,Predčasný starobný,19924
2015-10,Invalidný,235265
2015-10,Vdovský,291959
2015-10,Vdovecký,41402
2015-11,Starobný,1029725
2015-11,Predčasný starobný,19335
2015-11,Invalidný,235022
2015-11,Vdovský,292767
2015-11,Vdovecký,41649
2015-12,Starobný,1032197
2015-12,Predčasný starobný,18351
2015-12,Invalidný,234451
2015-12,Vdovský,292827
2015-12,Vdovecký,41720
2016-01,Starobný,1034106
2016-01,Predčasný starobný,17573
2016-01,Invalidný,234115
2016-01,Vdovský,292410
2016-01,Vdovecký,41669
2016-02,Starobný,1033106
2016-02,Predčasný starobný,17865
2016-02,Invalidný,234437
2016-02,Vdovský,290707
2016-02,Vdovecký,41356
2016-03,Starobný,1035022
2016-03,Predčasný starobný,18229
2016-03,Invalidný,234295
2016-03,Vdovský,290686
2016-03,Vdovecký,41475
2016-04,Starobný,1036702
2016-04,Predčasný starobný,18538
2016-04,Invalidný,233833
2016-04,Vdovský,290905
2016-04,Vdovecký,42182
2016-05,Starobný,1039068
2016-05,Predčasný starobný,18602
2016-05,Invalidný,233459
2016-05,Vdovský,291439
2016-05,Vdovecký,42932
2016-06,Starobný,1041894
2016-06,Predčasný starobný,18858
2016-06,Invalidný,233479
2016-06,Vdovský,292344
2016-06,Vdovecký,43574
2016-07,Starobný,1043914
2016-07,Predčasný starobný,19135
2016-07,Invalidný,233791
2016-07,Vdovský,293708
2016-07,Vdovecký,44386
2016-08,Starobný,1044737
2016-08,Predčasný starobný,19215
2016-08,Invalidný,234308
2016-08,Vdovský,294553
2016-08,Vdovecký,44950
2016-09,Starobný,1045209
2016-09,Predčasný starobný,19502
2016-09,Invalidný,234592
2016-09,Vdovský,294953
2016-09,Vdovecký,45179
2016-10,Starobný,1045110
2016-10,Predčasný starobný,20016
2016-10,Invalidný,234835
2016-10,Vdovský,295221
2016-10,Vdovecký,45419
2016-11,Starobný,1047599
2016-11,Predčasný starobný,20351
2016-11,Invalidný,235208
2016-11,Vdovský,296224
2016-11,Vdovecký,45766
2016-12,Starobný,1048842
2016-12,Predčasný starobný,20232
2016-12,Invalidný,235131
2016-12,Vdovský,296569
2016-12,Vdovecký,45959
2017-01,Starobný,1049276
2017-01,Predčasný starobný,19696
2017-01,Invalidný,236056
2017-01,Vdovský,296799
2017-01,Vdovecký,46254
2017-02,Starobný,1042762
2017-02,Predčasný starobný,21502
2017-02,Invalidný,237534
2017-02,Vdovský,294873
2017-02,Vdovecký,46011
2017-03,Starobný,1042187
2017-03,Predčasný starobný,22913
2017-03,Invalidný,237894
2017-03,Vdovský,294476
2017-03,Vdovecký,46003
2017-04,Starobný,1043627
2017-04,Predčasný starobný,22367
2017-04,Invalidný,238150
2017-04,Vdovský,294765
2017-04,Vdovecký,46177
2017-05,Starobný,1044871
2017-05,Predčasný starobný,21247
2017-05,Invalidný,238282
2017-05,Vdovský,294691
2017-05,Vdovecký,46279
2017-06,Starobný,1046877
2017-06,Predčasný starobný,20535
2017-06,Invalidný,238137
2017-06,Vdovský,294697
2017-06,Vdovecký,46496
2017-07,Starobný,1050335
2017-07,Predčasný starobný,19841
2017-07,Invalidný,237942
2017-07,Vdovský,294974
2017-07,Vdovecký,46702
2017-08,Starobný,1052813
2017-08,Predčasný starobný,19005
2017-08,Invalidný,237413
2017-08,Vdovský,294745
2017-08,Vdovecký,46743
2017-09,Starobný,1055168
2017-09,Predčasný starobný,18313
2017-09,Invalidný,237078
2017-09,Vdovský,294358
2017-09,Vdovecký,46736
2017-10,Starobný,1057578
2017-10,Predčasný starobný,17825
2017-10,Invalidný,236495
2017-10,Vdovský,294197
2017-10,Vdovecký,46754
2017-11,Starobný,1061138
2017-11,Predčasný starobný,17112
2017-11,Invalidný,236188
2017-11,Vdovský,294672
2017-11,Vdovecký,46981
2017-12,Starobný,1064393
2017-12,Predčasný starobný,16467
2017-12,Invalidný,235706
2017-12,Vdovský,294914
2017-12,Vdovecký,47147
2018-01,Starobný,1066257
2018-01,Predčasný starobný,15966
2018-01,Invalidný,235150
2018-01,Vdovský,294941
2018-01,Vdovecký,47263
2018-02,Starobný,1063885
2018-02,Predčasný starobný,16654
2018-02,Invalidný,235112
2018-02,Vdovský,293469
2018-02,Vdovecký,47028
2018-03,Starobný,1064569
2018-03,Predčasný starobný,17286
2018-03,Invalidný,234906
2018-03,Vdovský,292996
2018-03,Vdovecký,47015
2018-04,Starobný,1064099
2018-04,Predčasný starobný,17228
2018-04,Invalidný,235183
2018-04,Vdovský,292398
2018-04,Vdovecký,46956
2018-05,Starobný,1064259
2018-05,Predčasný starobný,16733
2018-05,Invalidný,236227
2018-05,Vdovský,292342
2018-05,Vdovecký,47118
2018-06,Starobný,1064322
2018-06,Predčasný starobný,16462
2018-06,Invalidný,236716
2018-06,Vdovský,292795
2018-06,Vdovecký,47346
2018-07,Starobný,1064355
2018-07,Predčasný starobný,16331
2018-07,Invalidný,237530
2018-07,Vdovský,293143
2018-07,Vdovecký,47621
2018-08,Starobný,1063943
2018-08,Predčasný starobný,16059
2018-08,Invalidný,237817
2018-08,Vdovský,293099
2018-08,Vdovecký,47773
2018-09,Starobný,1063687
2018-09,Predčasný starobný,15892
2018-09,Invalidný,237715
2018-09,Vdovský,292655
2018-09,Vdovecký,47737
2018-10,Starobný,1063912
2018-10,Predčasný starobný,15682
2018-10,Invalidný,237492
2018-10,Vdovský,292616
2018-10,Vdovecký,47829
2018-11,Starobný,1066844
2018-11,Predčasný starobný,15489
2018-11,Invalidný,237701
2018-11,Vdovský,293473
2018-11,Vdovecký,48147
2018-12,Starobný,1069255
2018-12,Predčasný starobný,14879
2018-12,Invalidný,237616
2018-12,Vdovský,294053
2018-12,Vdovecký,48348
2019-01,Starobný,1070083
2019-01,Predčasný starobný,14595
2019-01,Invalidný,237302
2019-01,Vdovský,294124
2019-01,Vdovecký,48480
2019-02,Starobný,1066385
2019-02,Predčasný starobný,15815
2019-02,Invalidný,237228
2019-02,Vdovský,292304
2019-02,Vdovecký,48265
2019-03,Starobný,1067925
2019-03,Predčasný starobný,17022
2019-03,Invalidný,236804
2019-03,Vdovský,292139
2019-03,Vdovecký,48339
2019-04,Starobný,1069698
2019-04,Predčasný starobný,16408
2019-04,Invalidný,236344
2019-04,Vdovský,291828
2019-04,Vdovecký,48369
2019-05,Starobný,1071947
2019-05,Predčasný starobný,15668
2019-05,Invalidný,236141
2019-05,Vdovský,291737
2019-05,Vdovecký,48467
2019-06,Starobný,1074409
2019-06,Predčasný starobný,15130
2019-06,Invalidný,236824
2019-06,Vdovský,292182
2019-06,Vdovecký,48713
2019-07,Starobný,1077394
2019-07,Predčasný starobný,14691
2019-07,Invalidný,236531
2019-07,Vdovský,292503
2019-07,Vdovecký,48923
2019-08,Starobný,1078934
2019-08,Predčasný starobný,14292
2019-08,Invalidný,236319
2019-08,Vdovský,292314
2019-08,Vdovecký,48976
2019-09,Starobný,1080540
2019-09,Predčasný starobný,13922
2019-09,Invalidný,235708
2019-09,Vdovský,291994
2019-09,Vdovecký,49000
2019-10,Starobný,1082323
2019-10,Predčasný starobný,13988
2019-10,Invalidný,235155
2019-10,Vdovský,292041
2019-10,Vdovecký,49148
2019-11,Starobný,1086241
2019-11,Predčasný starobný,13756
2019-11,Invalidný,234902
2019-11,Vdovský,292991
2019-11,Vdovecký,49487
2019-12,Starobný,1088300
2019-12,Predčasný starobný,13194
2019-12,Invalidný,234346
2019-12,Vdovský,293017
2019-12,Vdovecký,49508
2020-01,Starobný,1088208
2020-01,Predčasný starobný,13004
2020-01,Invalidný,234015
2020-01,Vdovský,292648
2020-01,Vdovecký,49452
2020-02,Starobný,1082544
2020-02,Predčasný starobný,13589
2020-02,Invalidný,234749
2020-02,Vdovský,291145
2020-02,Vdovecký,49264
2020-03,Starobný,1082804
2020-03,Predčasný starobný,14149
2020-03,Invalidný,234734
2020-03,Vdovský,291143
2020-03,Vdovecký,49306
2020-04,Starobný,1082527
2020-04,Predčasný starobný,14280
2020-04,Invalidný,234364
2020-04,Vdovský,290665
