mesiac,druh,pocet
2024-10,Predčasný starobný,40919
2024-10,Invalidný,217751
2024-10,Vdovský,288177
2024-10,Vdovecký,53851
2024-11,Starobný,1133049
2024-11,Predčasný starobný,39909
2024-11,Invalidný,218037
2024-11,Vdovský,288877
2024-11,Vdovecký,54259
2024-12,Starobný,1134690
2024-12,Predčasný starobný,39055
2024-12,Invalidný,217975
2024-12,Vdovský,289000
2024-12,Vdovecký,54352
2025-01,Starobný,1136638
2025-01,Predčasný starobný,37969
2025-01,Invalidný,217836
2025-01,Vdovský,289151
2025-01,Vdovecký,54471
2025-02,Starobný,1133706
2025-02,Predčasný starobný,39991
2025-02,Invalidný,217740
2025-02,Vdovský,287477
2025-02,Vdovecký,54103
2025-03,Starobný,1134102
2025-03,Predčasný starobný,42859
2025-03,Invalidný,217347
2025-03,Vdovský,287423
2025-03,Vdovecký,54138
2025-04,Starobný,1134148
2025-04,Predčasný starobný,42538
2025-04,Invalidný,218105
2025-04,Vdovský,287911
2025-04,Vdovecký,54434
2025-05,Starobný,1134810
2025-05,Predčasný starobný,41303
2025-05,Invalidný,218267
2025-05,Vdovský,288050
2025-05,Vdovecký,54573
2025-06,Starobný,1135298
2025-06,Predčasný starobný,40184
2025-06,Invalidný,218458
2025-06,Vdovský,288141
2025-06,Vdovecký,54692
2025-07,Starobný,1136583
2025-07,Predčasný starobný,38512
2025-07,Invalidný,218686
2025-07,Vdovský,288242
2025-07,Vdovecký,54838
2025-08,Starobný,1137344
2025-08,Predčasný starobný,36957
2025-08,Invalidný,218916
2025-08,Vdovský,288034
2025-08,Vdovecký,54917
2025-09,Starobný,1138925
2025-09,Predčasný starobný,35192
2025-09,Invalidný,218787
2025-09,Vdovský,287924
2025-09,Vdovecký,54940
2025-10,Starobný,1140155
2025-10,Predčasný starobný,33572
2025-10,Invalidný,218588
2025-10,Vdovský,287798
2025-10,Vdovecký,54930
2025-11,Starobný,1143283
2025-11,Predčasný starobný,32047
2025-11,Invalidný,218558
2025-11,Vdovský,288321
2025-11,Vdovecký,55143
2025-12,Starobný,1144849
2025-12,Predčasný starobný,30619
2025-12,Invalidný,218372
2025-12,Vdovský,288329
2025-12,Vdovecký,55183
2026-01,Starobný,1146712
2026-01,Predčasný starobný,29280
2026-01,Invalidný,218198
2026-01,Vdovský,288411
2026-01,Vdovecký,55215
2026-02,Starobný,1142764
2026-02,Predčasný starobný,28415
2026-02,Invalidný,218285
2026-02,Vdovský,286366
2026-02,Vdovecký,54703
2026-03,Starobný,1144085
2026-03,Predčasný starobný,27703
2026-03,Invalidný,218070
2026-03,Vdovský,286547
2026-03,Vdovecký,54814
2026-04,Starobný,1144710
2026-04,Predčasný starobný,26708
2026-04,Invalidný,217928
2026-04,Vdovský,286674
2026-04,Vdovecký,54926
