mesiac,druh,kategoria,priemer_eur
2025-09,Starobný,Novopriznané,699.29
2025-09,Vdovecký,Vyplácané,179.64
2025-09,Vdovecký,Novopriznané,202.69
2025-09,Vdovský,Vyplácané,252.97
2025-09,Vdovský,Novopriznané,299.62
2025-10,Invalidný,Vyplácané,409.05
2025-10,Invalidný,Novopriznané,438.53
2025-10,Predčasný starobný,Vyplácané,725.24
2025-10,Predčasný starobný,Novopriznané,690.16
2025-10,Starobný,Vyplácané,661.26
2025-10,Starobný,Novopriznané,704.39
2025-10,Vdovecký,Vyplácané,179.74
2025-10,Vdovecký,Novopriznané,353.97
2025-10,Vdovský,Vyplácané,253.17
2025-10,Vdovský,Novopriznané,494.32
2025-11,Invalidný,Vyplácané,409.03
2025-11,Invalidný,Novopriznané,435.14
2025-11,Predčasný starobný,Vyplácané,722.91
2025-11,Predčasný starobný,Novopriznané,701.05
2025-11,Starobný,Vyplácané,661.39
2025-11,Starobný,Novopriznané,698.64
2025-11,Vdovecký,Vyplácané,179.86
2025-11,Vdovecký,Novopriznané,214.86
2025-11,Vdovský,Vyplácané,253.34
2025-11,Vdovský,Novopriznané,305.36
2025-12,Invalidný,Vyplácané,408.87
2025-12,Invalidný,Novopriznané,433.01
2025-12,Predčasný starobný,Vyplácané,720.21
2025-12,Predčasný starobný,Novopriznané,686.41
2025-12,Starobný,Vyplácané,661.62
2025-12,Starobný,Novopriznané,686.29
2025-12,Vdovecký,Vyplácané,180.04
2025-12,Vdovecký,Novopriznané,215.73
2025-12,Vdovský,Vyplácané,253.49
2025-12,Vdovský,Novopriznané,320.19
2026-01,Invalidný,Vyplácané,423.79
2026-01,Invalidný,Novopriznané,452.3
2026-01,Predčasný starobný,Vyplácané,744.01
2026-01,Predčasný starobný,Novopriznané,714.04
2026-01,Starobný,Vyplácané,686.28
2026-01,Starobný,Novopriznané,689.76
2026-01,Vdovecký,Vyplácané,186.84
2026-01,Vdovecký,Novopriznané,206.38
2026-01,Vdovský,Vyplácané,263.04
2026-01,Vdovský,Novopriznané,310.68
2026-02,Invalidný,Vyplácané,423.62
2026-02,Invalidný,Novopriznané,447.42
2026-02,Predčasný starobný,Vyplácané,740.12
2026-02,Predčasný starobný,Novopriznané,735.88
2026-02,Starobný,Vyplácané,686.98
2026-02,Starobný,Novopriznané,729.33
2026-02,Vdovecký,Vyplácané,187.37
2026-02,Vdovecký,Novopriznané,204.31
2026-02,Vdovský,Vyplácané,263.55
2026-02,Vdovský,Novopriznané,314.32
2026-03,Invalidný,Vyplácané,423.71
2026-03,Invalidný,Novopriznané,453.39
2026-03,Predčasný starobný,Vyplácané,737.82
2026-03,Predčasný starobný,Novopriznané,719.38
2026-03,Starobný,Vyplácané,687.49
2026-03,Starobný,Novopriznané,786.34
2026-03,Vdovecký,Vyplácané,187.51
2026-03,Vdovecký,Novopriznané,197.94
2026-03,Vdovský,Vyplácané,263.7
2026-03,Vdovský,Novopriznané,308.34
2026-04,Invalidný,Vyplácané,426.94
2026-04,Invalidný,Novopriznané,438.2
2026-04,Predčasný starobný,Vyplácané,738.78
2026-04,Predčasný starobný,Novopriznané,698.75
2026-04,Starobný,Vyplácané,732.05
2026-04,Starobný,Novopriznané,765.9
2026-04,Vdovecký,Vyplácané,336.6
2026-04,Vdovecký,Novopriznané,203.63
2026-04,Vdovský,Vyplácané,400.12
2026-04,Vdovský,Novopriznané,316.91
